cnt,OPENDATA_ID,GNG_CS,FD_CS,BZ_NM,TLNO,MBZ_HR,SEAT_CNT,PKPL,HP,PSB_FRN,BKN_YN,INFN_FCL,BRFT_YN,DSSRT_YN,MNU,SMPL_DESC,SBW,BUS,LOCATION,coordinate,lat,lon
1,1694,대구광역시 중구 삼덕동2가 219-1,한식,송림식당,053-424-3838,11:00 ~ 20:00,80석,10대,없음,영어 ,가능,불가능,불가능,가능,"복어매운탕 9,000원
복어지리 9,000원
복어수육 45,000원
모듬회 20,000원
껍질무침 15,000원",`송림복어` 는 50년 이상 전통의 복어 요리 전문점입니다.,지하철 2호선 경대벽원역 4번 출구에서 도보로 약 232m 거리.,버스 정류장은 `경북대학교병원앞` 정류장이 가장 가깝습니다.,중구,"[35.8649042, 128.603583]",35.8649042,128.603583
2,1691,대구광역시 중구 삼덕동1가 21-10,양식,빈플러스 테이스팅 스푼(TASTING SPOON),053-424-5925,11:00 ~ 22:00,22석,유료주차장,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"오늘의 스테이크 19,000원
새우오일 파스타 13,000원
명란크림 파스타 14,000원
로제새우 파스타 14,000원",`테이스팅 스푼(TASTING SPOON)` 은 저렴한 가격에 스테이크와 파스타를 즐길 수 있는 가성비 좋은 양식 전문점입니다.,"지하철 1,2호선 반월당역 10번 출구에서 도보로 약 528m 거리.",버스 정류장은 `삼덕성당앞` 정류장이 가장 가깝습니다.,중구,"[35.8677101, 128.5986988]",35.8677101,128.5986988
3,1688,대구광역시 중구 동성로2가 70-1,한식,박석규 중앙떡볶이,053-424-7692,11:20 ~ 20:00 / (일)11:20 ~ 17:00,50석,없음(인근 유료주차장 이용),없음,가능한 외국어가 없습니다.,불가능,불가능,불가능,불가능,"쌀떡볶이+납작만두 (섞어 1인분)  4,000원
쌀떡볶이 4,000원
납작만두 4,000원
순대 4,000원",30년 이상 한 자리를 지켜온 동성로의 명물 `박석규 중앙떡볶이` 쌀로 만든 떡볶이와 납작만두가 별미인 분식점입니다.,지하철 1호선 중앙로역 2번 출구에서 도보로 약 365m,버스 정류장은 `2.28기념중앙공원앞` 정류장이 가장 가깝습니다.,중구,"[35.8695331, 128.5969751]",35.8695331,128.5969751
4,1661,대구광역시 중구 대봉동 31-67,양식,가스트로락,053-281-5959,11:30 ~ 23:30 (브레이크 타임 15:00 ~ 17:30),24석,공영주차장 유료,없음,영어 ,가능,불가능,불가능,가능,"런치 토시살스테이크 코스 35,000원
디너 한우 채끝등심 코스 75,000원 
디너 오리 가슴살 코스 58,000원 
트러플 뇨끼 15,000원",100% 핸드메이드로 모든 음식을 직접 만들고 가성비 좋은 유러피안 레스토랑입니다.,지하철 2호선 경대병원역  3번 출구에서 도보로 약 544m 거리.,버스 정류장은 `방천시장(김광석길)앞 정류장이 가장 가깝습니다.,중구,"[35.8596617, 128.6063622]",35.8596617,128.6063622
5,1648,대구광역시 중구 삼덕동1가 14-3,세계요리,차이,053-254-3965,12:00 ~ 22:00 (브레이크타임 15:30 ~ 17:00),26석,없음(인근 유료주차장 이용),instagram.com/chai_daegu,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"팟타이 15,000원
아시안슈림프라이스 17,000원
팟씨유(치킨) 15,000원 
로제 가츠돈 14,000원 
",`차이` 는 미들급 다이닝을 지향하는 태국 요리 및 일본 요리 등 아시안 퓨전 음식 전문점입니다.,"지하철 1호선, 2호선 반월당역 10번 출구에서 도보로 약 323m 거리.",버스 정류장은 `2호선반월당역1` 정류장이 가장 가깝습니다.,중구,"[35.8667805, 128.5971361]",35.8667805,128.5971361
6,1647,대구광역시 중구 종로2가 1,일식,종로횟집,053-252-5858,11:00~01:00 (브레이크 타임 14:30~16:30),100석,없음(인근 유료주차장 이용),없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"특모듬회코스(1인) 30,000원
스페셜회코스(1인) 40,000원
회덮밥 13,000원 
생선초밥 10,000원 
물회 13,000원","`종로횟집` 은 신선한 해산물과 회, 물회가 유명한 이자카야 횟집입니다.",지하철 1호선 중앙로역 1번 출구에서 도보로 약 231m 거리.,버스 정류장은 `만경관건너` 정류장이 가장 가깝습니다.,중구,"[35.8694762, 128.5917081]",35.8694762,128.5917081
7,1627,대구광역시 중구 남성로 102-1,일식,스시준,053-219-1916,11:30~20:30 (브레이크 타임 15:00 ~ 17:00),26석,없음,없음,가능한 외국어가 없습니다.,불가능,불가능,불가능,불가능,"스시준 스시A(활어 12P) 14,000원 
스시준 스시B(구운초밥 12P) 14,000원 
모듬스시(10P) 12,000원 
참치스시(8P) 13,000원 
참돔스시 13,000원
",`스시준` 은 연어초밥으로 유명한 초밥 전문점입니다.,"지하철 1호선, 2호선 반월당역 17번 출구에서 도보로 약 160m 거리.",버스 정류장은 `약령시입구` 정류장이 가장 가깝습니다.,중구,"[35.8672809, 128.591106]",35.8672809,128.591106
8,1626,대구광역시 중구 종로2가 90,한식,미조찜탕,053-257-1353,10:00 ~ 22:00,60석(룸5),없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"동태탕 8,000원
가오리찜 22,000원 ~ 33,000원
알곤탕 19,000원 ~ 30,000원
생대구탕(겨울철) 13,000원",`미조찜.탕`은 동태탕과 각종 찜 종류가 유명한 탕.찜 전문점입니다.,"지하철 1호선, 2호선 반월당역 15번 출구에서 도보로 약 184m 거리",버스 정류장은 `약령시건너(동성로입구)` 정류장이 가장 가깝습니다.,중구,"[35.8676958, 128.5923128]",35.8676958,128.5923128
9,1624,대구광역시 중구 남산동 2111-4,한식,세연전통콩국,053-257-9915,10:00 ~ 03:00,68석,없음(공영주차장 유료),blog.naver.com/emailforyou,영어 중국어 &lt;BR&gt;,불가,불가능,불가능,불가능,"콩국 5,000원
돈까스 8,000원
잔치국수 5,000원
검은콩국수 7,500원
옛날토스트 3,500원",20년 전통을 자랑하는 `세연전통콩국` 은 건강한 음식을 저렴하게 맛볼 수 있는 음식점입니다.,"지하철 1호선, 3호선 명덕역 1번 출구에서 도보로 약 126m 거리.",버스 정류장은 `명덕초등학교앞` 정류장이 가장 가깝습니다.,중구,"[35.85704339999999, 128.5891445]",35.85704339999999,128.5891445
10,1623,대구광역시 중구 남산동 939-1,한식,정담(정성을 담은),053-253-5263,11:00 ~ 21:30,64석(룸3),없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"정담정식 13,000원 
돼지갈비찜 (中) 28,000원 (大) 45,000원 
코다리찜 (中)30,000원 (大) 40,000원
",`정담` 은 정성을 담은 음식을 대접하고 싶은 오너 셰프의 마음이 담긴 우리 고유의 전통 방식으로 음식을 조리하는 한정식 전문점입니다.,"지하철 1호선, 2호선 반월당역 19번 출구에서 도보로 약 164m 거리.",버스 정류장은 `현대백화점.동화백화점건너` 정류장이 가장 가깝습니다.,중구,"[35.8648012, 128.5916845]",35.8648012,128.5916845
